Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
queslabproc,irb_review,,yesno,"Does the study involve laboratory procedures, such as the collection, processing and analysis of specimens?",,,,,,,[doctype] = 'IR',,RH,,,,
quesdsmb,irb_review,,yesno,Does this study involve a Data Safety Monitoring Board (DSMB)?,,,,,,,[doctype] = 'IR',,RH,,,,
quesamecrchanges,irb_review,,checkbox,Did this review involve the following changes?,"1, Add laboratory procedures | 2, Add new staff | 3, Add DSMB",check all applicable changes,,,,,[doctype] = 'CR' or [doctype] = 'Ame',,,,,,
review_description,protocol,,descriptive,"<div class=""blue""> <h1>IRB Review: [doctype] [docnumber] </div></h1>",,,,,,,[doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE',,,,,,
initialreview_description,protocol,,descriptive,"<div class=""blue""> <h1>IRB Review: [doctype] </h1></div>",,,,,,,[doctype] = 'IR',,,,,,
requirementsprotocol,protocol,,file,"Institution Specific Guidance for Protocol 
",,,,,,,[approveddocs(1)] = '1' or [approveddocs(2)] = '1',,,,,,
quechangeps,protocol,"<div class=""red""> <h1>IRB Approved Protocol Summary</div></h1>",yesno,Were there changes to the protocol summary?,,,,,,,([doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE') and [approveddocs(1)] = '1',,RH,,,,Used in Protocol Tracking Log Plugin
pschange,protocol,,notes,Description of Protocol Summary Change(s),,,,,,,[quechangeps] = '1',,,,,,Used in Protocol Tracking Log Plugin
psversiondte,protocol,,text,Version Date,,,date_mdy,,,,[approveddocs(1)] = '1',,,,,,Used in Protocol Tracking Log Plugin
psversionnum,protocol,,text,Version Number,,"e.g.  1.0, 1.1, 1.2, 2.0",,,,,[approveddocs(1)] = '1',,,,,,Used in Protocol Tracking Log Plugin
pscopy,protocol,,file,Approved Protocol Summary,,If protocol summary is stored outside of this application upload note to file indicating the location,,,,,[approveddocs(1)] = '1',,,,,,
quechangedp2,protocol,"<div class=""red""> <h1>IRB Approved Detailed Protocol </div></h1>",yesno,Were there changes to the Detailed Protocol?,,,,,,,([doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE') and ([approveddocs(2)] = '1' and [approveddocs(1)] = '0'),,RH,,,,Used in Protocol Tracking Log Plugin
quechangedp,protocol,,yesno,Are the changes to the detailed protocol the same as the protocol summary?,,,,,,,([doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE') and ([approveddocs(2)] = '1' and [approveddocs(1)] = '1'),,RH,,,,Used in Protocol Tracking Log Plugin
pschangedp,protocol,,notes,Description of Detailed Protocol Change(s),,,,,,,[quechangedp] = '0' or [quechangedp2] = '1',,,,,,Used in Protocol Tracking Log Plugin
dpversiondte,protocol,,text,Version Date,,,date_mdy,,,,[approveddocs(2)] = '1',,,,,,Used in Protocol Tracking Log Plugin
dpversionnum,protocol,,text,Version Number,,"e.g.  1.0, 1.1, 1.2, 2.0",,,,,[approveddocs(2)] = '1',,,,,,Used in Protocol Tracking Log Plugin
dpcopy,protocol,,file,Approved Detailed Protocol,,If the detailed protocol is stored outside of this application upload note to file indicating the location ,,,,,[approveddocs(2)] = '1',,,,,,
dpsignaturepage,protocol,,file,Signature page,,copy of the full executed protocol signature page,,,,,[approveddocs(2)] = '1',,,,,,Used in Protocol Tracking Log Plugin
review_description_sd,staff_documents,,descriptive,"<div class=""blue""> <h1>IRB Review: [doctype] [docnumber] </div></h1>",,,,,,,[doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE',,,,,,
initialreview_description_sd,staff_documents,,descriptive,"<div class=""blue""> <h1>IRB Review: [doctype]</h1></div>",,,,,,,[doctype] = 'IR',,,,,,
requirementscvlicense,staff_documents,,file,Institution Specific Guidance for Staff Documents,,,,,,,[doctype] = 'IR' or [quesamecrchanges(2)] = '1',,,,,,
numstaff,staff_documents,"<div class=""red""> <h1>Staff Documents</div></h1>",dropdown,Number of Approved Study Staff,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",captures up to 10 study staff per IRB review,,,,,[doctype] = 'IR' or [quesamecrchanges(2)] = '1',,,,,,
namestaff1,staff_documents,<h1>Staff 1</h1>,text,Name,,,,,,,[numstaff] > 0,,,,,,Used in Delegation Log plugin
credentialsstaff1,staff_documents,,dropdown,Credentials,"1, BA | 2, BS | 3, JD | 4, MD | 5, MPH | 6, MS | 7, NP | 8, PharmD | 9, PhD | 10, RN",,,,,,[numstaff] > 0,,,,,,
titlestaff1_rev,staff_documents,,dropdown,Title,"1, Co-Investigator | 2, Data Manager | 3, Intern | 4, Laboratory Technician/Technologist | 5, Other | 6, Principal Investigator | 7, Regulatory Coordinator/Manager | 8, Research Assistant | 9, Research Coordinator/Manager | 10, Research Nurse | 11, Student",,,,,,[numstaff] > 0,,,,,,Used in Delegation Log plugin
initialsstaff1,staff_documents,,text,Initials,,,,,,,[numstaff] > 0,,RH,,,,
startdatestaff1,staff_documents,,text,Start Date,,,date_mdy,,,,[numstaff] > 0,,,,,,Used in Delegation Log plugin
enddatestaff1,staff_documents,,text,End Date,,,date_mdy,,,,[numstaff] > 0,,,,,,Used in Delegation Log plugin
quedoctrainingstaff1,staff_documents,,checkbox,Documentation of Training,"1, CV | 2, License | 3, Other",check all that apply,,,,,[numstaff] > 0,,RH,,,,
cvpreparedstaff1,staff_documents,,text,Date CV Prepared,,,date_mdy,,,,[numstaff] > 0 and [quedoctrainingstaff1(1)] = 1,,,,,,
cvstaff1,staff_documents,,file,Current CV,,,,,,,[numstaff] > 0 and [quedoctrainingstaff1(1)] = 1,,,,,,
licenseexpiresstaff1,staff_documents,,text,Date Medical License Expires,,,date_mdy,,,,[numstaff] > 0 and [quedoctrainingstaff1(2)] = 1,,,,,,
licensestaff1,staff_documents,,file,Valid Medical License,,,,,,,[numstaff] > 0 and [quedoctrainingstaff1(2)] = 1,,,,,,
trainingnamestaff1,staff_documents,,text,Name of Other Training,,,,,,,[numstaff] > 0 and [quedoctrainingstaff1(3)] = 1,,,,,,
trainingdocstaff1,staff_documents,,file,Training Document,,,,,,,[numstaff] > 0 and [quedoctrainingstaff1(3)] = 1,,,,,,
namestaff2,staff_documents,<h1>Staff 2</h1>,text,Name,,,,,,,[numstaff] > 1,,,,,,Used in Delegation Log plugin
credentialsstaff2,staff_documents,,dropdown,Credentials,"1, BA | 2, BS | 3, JD | 4, MD | 5, MPH | 6, MS | 7, NP | 8, PharmD | 9, PhD | 10, RN",,,,,,[numstaff] > 1,,,,,,
titlestaff2_rev,staff_documents,,dropdown,Title,"1, Co-Investigator | 2, Data Manager | 3, Intern | 4, Laboratory Technician/Technologist | 5, Other | 6, Principal Investigator | 7, Regulatory Coordinator/Manager | 8, Research Assistant | 9, Research Coordinator/Manager | 10, Research Nurse | 11, Student",,,,,,[numstaff] > 1,,,,,,Used in Delegation Log plugin
initialsstaff2,staff_documents,,text,Initials,,,,,,,[numstaff] > 1,,,,,,
startdatestaff2,staff_documents,,text,Start Date,,,date_mdy,,,,[numstaff] > 1,,,,,,Used in Delegation Log plugin
enddatestaff2,staff_documents,,text,End Date,,,date_mdy,,,,[numstaff] > 1,,,,,,Used in Delegation Log plugin
quedoctrainingstaff2,staff_documents,,checkbox,Documentation of Training,"1, CV | 2, License | 3, Other",check all that apply,,,,,[numstaff] > 1,,RH,,,,
cvpreparedstaff2,staff_documents,,text,Date CV Prepared,,,date_mdy,,,,[numstaff] > 1 and [quedoctrainingstaff2(1)] = 1,,,,,,
cvstaff2,staff_documents,,file,Current CV,,,,,,,[numstaff] > 1 and [quedoctrainingstaff2(1)] = 1,,,,,,
licenseexpiresstaff2,staff_documents,,text,Date Medical License Expires,,,date_mdy,,,,[numstaff] > 1 and [quedoctrainingstaff2(2)] = 1,,,,,,
licensestaff2,staff_documents,,file,Valid Medical License,,,,,,,[numstaff] > 1 and [quedoctrainingstaff2(2)] = 1,,,,,,
trainingnamestaff2,staff_documents,,text,Name of Other Training,,,,,,,[numstaff] > 1 and [quedoctrainingstaff2(3)] = 1,,,,,,
trainingdocstaff2,staff_documents,,file,Training Document,,,,,,,[numstaff] > 1 and [quedoctrainingstaff2(3)] = 1,,,,,,
namestaff3,staff_documents,<h1>Staff 3</h1>,text,Name,,,,,,,[numstaff] > 2,,,,,,Used in Delegation Log plugin
credentialsstaff3,staff_documents,,dropdown,Credentials,"1, BA | 2, BS | 3, JD | 4, MD | 5, MPH | 6, MS | 7, NP | 8, PharmD | 9, PhD | 10, RN",,,,,,[numstaff] > 2,,,,,,
titlestaff3_rev,staff_documents,,dropdown,Title,"1, Co-Investigator | 2, Data Manager | 3, Intern | 4, Laboratory Technician/Technologist | 5, Other | 6, Principal Investigator | 7, Regulatory Coordinator/Manager | 8, Research Assistant | 9, Research Coordinator/Manager | 10, Research Nurse | 11, Student",,,,,,[numstaff] > 2,,,,,,Used in Delegation Log plugin
initialsstaff3,staff_documents,,text,Initials,,,,,,,[numstaff] > 2,,,,,,
startdatestaff3,staff_documents,,text,Start Date,,,date_mdy,,,,[numstaff] > 2,,,,,,Used in Delegation Log plugin
enddatestaff3,staff_documents,,text,End Date,,,date_mdy,,,,[numstaff] > 2,,,,,,Used in Delegation Log plugin
quedoctrainingstaff3,staff_documents,,checkbox,Documentation of Training,"1, CV | 2, License | 3, Other",check all that apply,,,,,[numstaff] > 2,,RH,,,,
cvpreparedstaff3,staff_documents,,text,Date CV Prepared,,,date_mdy,,,,[numstaff] > 2 and [quedoctrainingstaff3(1)] = 1,,,,,,
cvstaff3,staff_documents,,file,Current CV,,,,,,,[numstaff] > 2 and [quedoctrainingstaff3(1)] = 1,,,,,,
licenseexpiresstaff3,staff_documents,,text,Date Medical License Expires,,,date_mdy,,,,[numstaff] > 2 and [quedoctrainingstaff3(2)] = 1,,,,,,
licensestaff3,staff_documents,,file,Valid Medical License,,,,,,,[numstaff] > 2 and [quedoctrainingstaff3(2)] = 1,,,,,,
trainingnamestaff3,staff_documents,,text,Name of Other Training,,,,,,,[numstaff] > 2 and [quedoctrainingstaff3(3)] = 1,,,,,,
trainingdocstaff3,staff_documents,,file,Training Document,,,,,,,[numstaff] > 2 and [quedoctrainingstaff3(3)] = 1,,,,,,
namestaff4,staff_documents,<h1>Staff 4</h1>,text,Name,,,,,,,[numstaff] > 3,,,,,,Used in Delegation Log plugin
credentialsstaff4,staff_documents,,dropdown,Credentials,"1, BA | 2, BS | 3, JD | 4, MD | 5, MPH | 6, MS | 7, NP | 8, PharmD | 9, PhD | 10, RN",,,,,,[numstaff] > 3,,,,,,
titlestaff4_rev,staff_documents,,dropdown,Title,"1, Co-Investigator | 2, Data Manager | 3, Intern | 4, Laboratory Technician/Technologist | 5, Other | 6, Principal Investigator | 7, Regulatory Coordinator/Manager | 8, Research Assistant | 9, Research Coordinator/Manager | 10, Research Nurse | 11, Student",,,,,,[numstaff] > 3,,,,,,Used in Delegation Log plugin
initialsstaff4,staff_documents,,text,Initials,,,,,,,[numstaff] > 3,,,,,,
startdatestaff4,staff_documents,,text,Start Date,,,date_mdy,,,,[numstaff] > 3,,,,,,Used in Delegation Log plugin
enddatestaff4,staff_documents,,text,End Date,,,date_mdy,,,,[numstaff] > 3,,,,,,Used in Delegation Log plugin
quedoctrainingstaff4,staff_documents,,checkbox,Documentation of Training,"1, CV | 2, License | 3, Other",check all that apply,,,,,[numstaff] > 3,,RH,,,,
cvpreparedstaff4,staff_documents,,text,Date CV Prepared,,,date_mdy,,,,[numstaff] > 3 and [quedoctrainingstaff4(1)] = 1,,,,,,
cvstaff4,staff_documents,,file,Current CV,,,,,,,[numstaff] > 3 and [quedoctrainingstaff4(1)] = 1,,,,,,
licenseexpiresstaff4,staff_documents,,text,Date Medical License Expires,,,date_mdy,,,,[numstaff] > 3 and [quedoctrainingstaff4(2)] = 1,,,,,,
licensestaff4,staff_documents,,file,Valid Medical License,,,,,,,[numstaff] > 3 and [quedoctrainingstaff4(2)] = 1,,,,,,
trainingnamestaff4,staff_documents,,text,Name of Other Training,,,,,,,[numstaff] > 3 and [quedoctrainingstaff4(3)] = 1,,,,,,
trainingdocstaff4,staff_documents,,file,Training Document,,,,,,,[numstaff] > 3 and [quedoctrainingstaff4(3)] = 1,,,,,,
namestaff5,staff_documents,<h1>Staff 5</h1>,text,Name,,,,,,,[numstaff] > 4,,,,,,Used in Delegation Log plugin
credentialsstaff5,staff_documents,,dropdown,Credentials,"1, BA | 2, BS | 3, JD | 4, MD | 5, MPH | 6, MS | 7, NP | 8, PharmD | 9, PhD | 10, RN",,,,,,[numstaff] > 4,,,,,,
titlestaff5_rev,staff_documents,,dropdown,Title,"1, Co-Investigator | 2, Data Manager | 3, Intern | 4, Laboratory Technician/Technologist | 5, Other | 6, Principal Investigator | 7, Regulatory Coordinator/Manager | 8, Research Assistant | 9, Research Coordinator/Manager | 10, Research Nurse | 11, Student",,,,,,[numstaff] > 4,,,,,,Used in Delegation Log plugin
initialsstaff5,staff_documents,,text,Initials,,,,,,,[numstaff] > 4,,,,,,
startdatestaff5,staff_documents,,text,Start Date,,,date_mdy,,,,[numstaff] > 4,,,,,,Used in Delegation Log plugin
enddatestaff5,staff_documents,,text,End Date,,,date_mdy,,,,[numstaff] > 4,,,,,,Used in Delegation Log plugin
quedoctrainingstaff5,staff_documents,,checkbox,Documentation of Training,"1, CV | 2, License | 3, Other",check all that apply,,,,,[numstaff] > 4,,RH,,,,
cvpreparedstaff5,staff_documents,,text,Date CV Prepared,,,date_mdy,,,,[numstaff] > 4 and [quedoctrainingstaff5(1)] = 1,,,,,,
cvstaff5,staff_documents,,file,Current CV,,,,,,,[numstaff] > 4 and [quedoctrainingstaff5(1)] = 1,,,,,,
licenseexpiresstaff5,staff_documents,,text,Date Medical License Expires ,,,date_mdy,,,,[numstaff] > 4 and [quedoctrainingstaff5(2)] = 1,,,,,,
licensestaff5,staff_documents,,file,Valid Medical License,,,,,,,[numstaff] > 4 and [quedoctrainingstaff5(2)] = 1,,,,,,
trainingnamestaff5,staff_documents,,text,Name of Other Training,,,,,,,[numstaff] > 4 and [quedoctrainingstaff5(3)] = 1,,,,,,
trainingdocstaff5,staff_documents,,file,Training Document,,,,,,,[numstaff] > 4 and [quedoctrainingstaff5(3)] = 1,,RH,,,,
namestaff6,staff_documents,<h1>Staff 6</h1>,text,Name,,,,,,,[numstaff] > 5,,,,,,Used in Delegation Log plugin
credentialsstaff6,staff_documents,,dropdown,Credentials,"1, BA | 2, BS | 3, JD | 4, MD | 5, MPH | 6, MS | 7, NP | 8, PharmD | 9, PhD | 10, RN",,,,,,[numstaff] > 5,,,,,,
titlestaff6_rev,staff_documents,,dropdown,Title,"1, Co-Investigator | 2, Data Manager | 3, Intern | 4, Laboratory Technician/Technologist | 5, Other | 6, Principal Investigator | 7, Regulatory Coordinator/Manager | 8, Research Assistant | 9, Research Coordinator/Manager | 10, Research Nurse | 11, Student",,,,,,[numstaff] > 5,,,,,,Used in Delegation Log plugin
initialsstaff6,staff_documents,,text,Initials,,,,,,,[numstaff] > 5,,,,,,
startdatestaff6,staff_documents,,text,Start Date,,,date_mdy,,,,[numstaff] > 5,,,,,,Used in Delegation Log plugin
enddatestaff6,staff_documents,,text,End Date,,,date_mdy,,,,[numstaff] > 5,,,,,,Used in Delegation Log plugin
quedoctrainingstaff6,staff_documents,,checkbox,Documentation of Training,"1, CV | 2, License | 3, Other",check all that apply,,,,,[numstaff] > 5,,RH,,,,
cvpreparedstaff6,staff_documents,,text,Date CV Prepared,,,date_mdy,,,,[numstaff] > 5 and [quedoctrainingstaff6(1)] = 1,,,,,,
cvstaff6,staff_documents,,file,Current CV,,,,,,,[numstaff] > 5 and [quedoctrainingstaff6(1)] = 1,,,,,,
licenseexpiresstaff6,staff_documents,,text,Date Medical License Expires,,,date_mdy,,,,[numstaff] > 5 and [quedoctrainingstaff6(2)] = 1,,,,,,
licensestaff6,staff_documents,,file,Valid Medical License,,,,,,,[numstaff] > 5 and [quedoctrainingstaff6(2)] = 1,,,,,,
trainingnamestaff6,staff_documents,,text,Name of Other Training,,,,,,,[numstaff] > 5 and [quedoctrainingstaff6(3)] = 1,,,,,,
trainingdocstaff6,staff_documents,,file,Training Document,,,,,,,[numstaff] > 5 and [quedoctrainingstaff6(3)] = 1,,RH,,,,
namestaff7,staff_documents,<h1>Staff 7</h1>,text,Name,,,,,,,[numstaff] > 6,,,,,,Used in Delegation Log plugin
credentialsstaff7,staff_documents,,dropdown,Credentials,"1, BA | 2, BS | 3, JD | 4, MD | 5, MPH | 6, MS | 7, NP | 8, PharmD | 9, PhD | 10, RN",,,,,,[numstaff] > 6,,,,,,
titlestaff7_rev,staff_documents,,dropdown,Title,"1, Co-Investigator | 2, Data Manager | 3, Intern | 4, Laboratory Technician/Technologist | 5, Other | 6, Principal Investigator | 7, Regulatory Coordinator/Manager | 8, Research Assistant | 9, Research Coordinator/Manager | 10, Research Nurse | 11, Student",,,,,,[numstaff] > 6,,,,,,Used in Delegation Log plugin
initialsstaff7,staff_documents,,text,Initials,,,,,,,[numstaff] > 6,,,,,,
startdatestaff7,staff_documents,,text,Start Date,,,date_mdy,,,,[numstaff] > 6,,,,,,Used in Delegation Log plugin
enddatestaff7,staff_documents,,text,End Date,,,date_mdy,,,,[numstaff] > 6,,,,,,Used in Delegation Log plugin
quedoctrainingstaff7,staff_documents,,checkbox,Documentation of Training,"1, CV | 2, License | 3, Other",check all that apply,,,,,[numstaff] > 6,,RH,,,,
cvpreparedstaff7,staff_documents,,text,Date CV Prepared,,,date_mdy,,,,[numstaff] > 6 and [quedoctrainingstaff7(1)] = 1,,,,,,
cvstaff7,staff_documents,,file,Current CV,,,,,,,[numstaff] > 6 and [quedoctrainingstaff7(1)] = 1,,,,,,
licenseexpiresstaff7,staff_documents,,text,Date Medical License Expires,,,date_mdy,,,,[numstaff] > 6 and [quedoctrainingstaff7(2)] = 1,,,,,,
licensestaff7,staff_documents,,file,Valid Medical License,,,,,,,[numstaff] > 6 and [quedoctrainingstaff7(2)] = 1,,,,,,
trainingnamestaff7,staff_documents,,text,Name of Other Training,,,,,,,[numstaff] > 6 and [quedoctrainingstaff7(3)] = 1,,,,,,
trainingdocstaff7,staff_documents,,file,Training Document,,,,,,,[numstaff] > 6 and [quedoctrainingstaff7(3)] = 1,,RH,,,,
namestaff8,staff_documents,<h1>Staff 8</h1>,text,Name,,,,,,,[numstaff] > 7,,,,,,Used in Delegation Log plugin
credentialsstaff8,staff_documents,,dropdown,Credentials,"1, BA | 2, BS | 3, JD | 4, MD | 5, MPH | 6, MS | 7, NP | 8, PharmD | 9, PhD | 10, RN",,,,,,[numstaff] > 7,,,,,,
titlestaff8_rev,staff_documents,,dropdown,Title,"1, Co-Investigator | 2, Data Manager | 3, Intern | 4, Laboratory Technician/Technologist | 5, Other | 6, Principal Investigator | 7, Regulatory Coordinator/Manager | 8, Research Assistant | 9, Research Coordinator/Manager | 10, Research Nurse | 11, Student",,,,,,[numstaff] > 7,,,,,,Used in Delegation Log plugin
initialsstaff8,staff_documents,,text,Initials,,,,,,,[numstaff] > 7,,,,,,
startdatestaff8,staff_documents,,text,Start Date,,,date_mdy,,,,[numstaff] > 7,,,,,,Used in Delegation Log plugin
enddatestaff8,staff_documents,,text,End Date,,,date_mdy,,,,[numstaff] > 7,,,,,,Used in Delegation Log plugin
quedoctrainingstaff8,staff_documents,,checkbox,Documentation of Training,"1, CV | 2, License | 3, Other",check all that apply,,,,,[numstaff] > 7,,RH,,,,
cvpreparedstaff8,staff_documents,,text,Date CV Prepared,,,date_mdy,,,,[numstaff] > 7 and [quedoctrainingstaff8(1)] = 1,,,,,,
cvstaff8,staff_documents,,file,Current CV,,,,,,,[numstaff] > 7 and [quedoctrainingstaff8(1)] = 1,,,,,,
licenseexpiresstaff8,staff_documents,,text,Date Medical License Expires,,,date_mdy,,,,[numstaff] > 7 and [quedoctrainingstaff8(2)] = 1,,,,,,
licensestaff8,staff_documents,,file,Valid Medical License,,,,,,,[numstaff] > 7 and [quedoctrainingstaff8(2)] = 1,,,,,,
trainingnamestaff8,staff_documents,,text,Name of Other Training,,,,,,,[numstaff] > 7 and [quedoctrainingstaff8(3)] = 1,,,,,,
trainingdocstaff8,staff_documents,,file,Training Document,,,,,,,[numstaff] > 7 and [quedoctrainingstaff8(3)] = 1,,RH,,,,
namestaff9,staff_documents,<h1>Staff 9</h1>,text,Name,,,,,,,[numstaff] > 8,,,,,,Used in Delegation Log plugin
credentialsstaff9,staff_documents,,dropdown,Credentials,"1, BA | 2, BS | 3, JD | 4, MD | 5, MPH | 6, MS | 7, NP | 8, PharmD | 9, PhD | 10, RN",,,,,,[numstaff] > 8,,,,,,
titlestaff9_rev,staff_documents,,dropdown,Title,"1, Co-Investigator | 2, Data Manager | 3, Intern | 4, Laboratory Technician/Technologist | 5, Other | 6, Principal Investigator | 7, Regulatory Coordinator/Manager | 8, Research Assistant | 9, Research Coordinator/Manager | 10, Research Nurse | 11, Student",,,,,,[numstaff] > 8,,,,,,Used in Delegation Log plugin
initialsstaff9,staff_documents,,text,Initials,,,,,,,[numstaff] > 8,,,,,,
startdatestaff9,staff_documents,,text,Start Date,,,date_mdy,,,,[numstaff] > 8,,,,,,Used in Delegation Log plugin
enddatestaff9,staff_documents,,text,End Date,,,date_mdy,,,,[numstaff] > 8,,,,,,Used in Delegation Log plugin
quedoctrainingstaff9,staff_documents,,checkbox,Documentation of Training,"1, CV | 2, License | 3, Other",check all that apply,,,,,[numstaff] > 8,,RH,,,,
cvpreparedstaff9,staff_documents,,text,Date CV Prepared,,,date_mdy,,,,[numstaff] > 8 and [quedoctrainingstaff9(1)] = 1,,,,,,
cvstaff9,staff_documents,,file,Current CV,,,,,,,[numstaff] > 8 and [quedoctrainingstaff9(1)] = 1,,,,,,
licenseexpiresstaff9,staff_documents,,text,Date Medical License Expires,,,date_mdy,,,,[numstaff] > 8 and [quedoctrainingstaff9(2)] = 1,,,,,,
licensestaff9,staff_documents,,file,Valid Medical License,,,,,,,[numstaff] > 8 and [quedoctrainingstaff9(2)] = 1,,,,,,
trainingnamestaff9,staff_documents,,text,Name of Other Training,,,,,,,[numstaff] > 8 and [quedoctrainingstaff9(3)] = 1,,,,,,
trainingdocstaff9,staff_documents,,file,Training Document,,,,,,,[numstaff] > 8 and [quedoctrainingstaff9(3)] = 1,,RH,,,,
namestaff10,staff_documents,<h1>Staff 10</h1>,text,Name,,,,,,,[numstaff] > 9,,,,,,Used in Delegation Log plugin
credentialsstaff10,staff_documents,,dropdown,Credentials,"1, BA | 2, BS | 3, JD | 4, MD | 5, MPH | 6, MS | 7, NP | 8, PharmD | 9, PhD | 10, RN",,,,,,[numstaff] > 9,,,,,,
titlestaff10_rev,staff_documents,,dropdown,Title,"1, Co-Investigator | 2, Data Manager | 3, Intern | 4, Laboratory Technician/Technologist | 5, Other | 6, Principal Investigator | 7, Regulatory Coordinator/Manager | 8, Research Assistant | 9, Research Coordinator/Manager | 10, Research Nurse | 11, Student",,,,,,[numstaff] > 9,,,,,,Used in Delegation Log plugin
initialsstaff10,staff_documents,,text,Initials,,,,,,,[numstaff] > 9,,,,,,
startdatestaff10,staff_documents,,text,Start Date,,,date_mdy,,,,[numstaff] > 9,,,,,,Used in Delegation Log plugin
enddatestaff10,staff_documents,,text,End Date,,,date_mdy,,,,[numstaff] > 9,,,,,,Used in Delegation Log plugin
quedoctrainingstaff10,staff_documents,,checkbox,Documentation of Training,"1, CV | 2, License | 3, Other",check all that apply,,,,,[numstaff] > 9,,RH,,,,
cvpreparedstaff10,staff_documents,,text,Date CV Prepared,,,date_mdy,,,,[numstaff] > 9 and [quedoctrainingstaff10(1)] = 1,,,,,,
cvstaff10,staff_documents,,file,Current CV,,,,,,,[numstaff] > 9 and [quedoctrainingstaff10(1)] = 1,,,,,,
licenseexpiresstaff10,staff_documents,,text,Date Medical License Expires,,,date_mdy,,,,[numstaff] > 9 and [quedoctrainingstaff10(2)] = 1,,,,,,
licensestaff10,staff_documents,,file,Valid Medical License,,,,,,,[numstaff] > 9 and [quedoctrainingstaff10(2)] = 1,,,,,,
trainingnamestaff10,staff_documents,,text,Name of Other Training,,,,,,,[numstaff] > 9 and [quedoctrainingstaff10(3)] = 1,,,,,,
trainingdocstaff10,staff_documents,,file,Training Document,,,,,,,[numstaff] > 9 and [quedoctrainingstaff10(3)] = 1,,RH,,,,
review_description_ld,logs_delegation,,descriptive,"<div class=""blue""> <h1>IRB Review: [doctype] [docnumber] </div></h1>",,,,,,,[doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE',,,,,,
